POP,TAX,NLIC,INC,ROAD,FUELC,Y,X1,X2,X3,X4
1029,9,540,3.571,1.976,557,541.3022352,9,52.47813411,3.571,1.976
771,9,441,4.092,1.25,404,523.9948119,9,57.19844358,4.092,1.25
462,9,268,3.865,1.586,259,560.6060606,9,58.00865801,3.865,1.586
5787,7.5,3060,4.87,2.351,2396,414.0314498,7.5,52.87713841,4.87,2.351
968,8,527,4.399,0.431,397,410.1239669,8,54.44214876,4.399,0.431
3082,10,1760,5.342,1.333,1408,456.8462038,10,57.10577547,5.342,1.333
18366,8,8278,5.319,11.868,6312,343.6785364,8,45.07241642,5.319,11.868
7367,8,4074,5.126,2.138,3439,466.8114565,8,55.30066513,5.126,2.138
11926,8,6312,4.447,8.577,5528,463.5250713,8,52.92637934,4.447,8.577
10783,7,5948,4.512,8.507,5375,498.4698136,7,55.16090142,4.512,8.507
5291,8,2804,4.391,5.939,3068,579.8525799,8,52.995653,4.391,5.939
11251,7.5,5903,5.126,14.186,5301,471.1581193,7.5,52.46644743,5.126,14.186
9082,7,5213,4.817,6.93,4768,524.9944946,7,57.39925127,4.817,6.93
4520,7,2465,4.207,6.58,2294,507.5221239,7,54.53539823,4.207,6.58
3896,7,2368,4.332,8.159,2204,565.7084189,7,60.78028747,4.332,8.159
2883,7,1689,4.318,10.34,1830,634.7554631,7,58.58480749,4.318,10.34
4753,7,2719,4.206,8.508,2865,602.7771934,7,57.20597517,4.206,8.508
632,7,341,3.718,4.725,451,713.6075949,7,53.9556962,3.718,4.725
579,7,419,4.716,5.915,501,865.2849741,7,72.36614853,4.716,5.915
1525,8.5,1033,4.341,6.01,976,640,8.5,67.73770492,4.341,6.01
2258,7,1496,4.593,7.834,1466,649.2471213,7,66.25332152,4.593,7.834
565,8,340,4.983,0.602,305,539.8230088,8,60.17699115,4.983,0.602
4056,9,2073,4.897,2.449,1883,464.2504931,9,51.10946746,4.897,2.449
4764,9,2463,4.258,4.686,2604,546.5994962,9,51.70025189,4.258,4.686
1781,8.5,982,4.574,2.619,819,459.8540146,8.5,55.13756317,4.574,2.619
5214,9,2835,3.721,4.746,2953,566.3598005,9,54.37284235,3.721,4.746
2665,8,1460,3.448,5.399,1537,576.7354597,8,54.78424015,3.448,5.399
4720,7.5,2731,3.846,9.061,2979,631.1440678,7.5,57.86016949,3.846,9.061
7259,8,4084,4.188,5.975,4169,574.3215319,8,56.261193,4.188,5.975
3299,9,1626,3.601,4.65,1761,533.7981206,9,49.28766293,3.601,4.65
4031,7,2088,3.64,6.905,2301,570.8260977,7,51.79856115,3.64,6.905
3510,7,1801,3.333,6.594,1946,554.4159544,7,51.31054131,3.333,6.594
2263,8,1309,3.063,6.524,1306,577.1100309,8,57.84357048,3.063,6.524
1978,7.5,1081,3.357,4.121,1242,627.9069767,7.5,54.65116279,3.357,4.121
3720,8,1813,3.528,3.495,1812,487.0967742,8,48.73655914,3.528,3.495
2634,6.58,1657,3.802,7.834,1695,643.5079727,6.58,62.90812453,3.802,7.834
11649,5,6595,4.045,17.782,7451,639.6257189,5,56.61430166,4.045,17.782
719,7,421,3.897,6.385,506,703.7552156,7,58.55354659,3.897,6.385
756,8.5,501,3.635,3.274,490,648.1481481,8.5,66.26984127,3.635,3.274
345,7,232,4.345,3.905,334,968.115942,7,67.24637681,4.345,3.905
2357,7,1475,4.449,4.639,1384,587.1871022,7,62.57955028,4.449,4.639
1065,7,600,3.656,3.985,744,698.5915493,7,56.33802817,3.656,3.985
1945,7,1173,4.3,3.635,1230,632.3907455,7,60.30848329,4.3,3.635
1126,7,572,3.745,2.611,666,591.4742451,7,50.79928952,3.745,2.611
527,6,354,5.215,2.302,412,781.7836812,6,67.17267552,5.215,2.302
3443,9,1966,4.476,3.942,1757,510.3107755,9,57.10136509,4.476,3.942
2182,7,1360,4.296,4.083,1331,609.9908341,7,62.32813932,4.296,4.083
20468,7,12130,5.002,9.794,10730,524.232949,7,59.26324018,5.002,9.794
