Contract_Date,Price,Block_Size,Bedrooms,Bathrooms,Ensuites,Garages,Carports
12/10/2018,605000,780,,,,,
14/07/2018,645000,761,4,1,,2,
22/05/2018,670000,433,3,1,,0,2
15/01/2018,682000,1173,,,,,
27/11/2018,700000,698,,,,,
24/09/2018,710000,971,,,,,
24/01/2018,721000,453,3,2,,0,2
2/06/2018,723000,850,3,1,,2,0
5/12/2018,785000,871,3,1,,1,
2/11/2018,800000,929,3,1,,,
28/02/2018,848000,1039,,,,,
15/02/2018,860000,941,3,1,,1,1
21/09/2018,868000,808,3,1,,1,1
8/12/2018,877500,1179,4,2,,2,0
9/11/2018,900000,808,,,,,
