Y,X1,X2,X3,X4,X5
1.95,1.31,1.07,0.44,0.75,0.35
2.9,1.55,1.49,0.53,0.9,0.47
0.72,0.99,0.84,0.34,0.57,0.32
0.81,0.99,0.83,0.34,0.54,0.27
1.09,1.05,0.9,0.36,0.64,0.3
1.22,1.09,0.93,0.42,0.61,0.31
1.02,1.08,0.9,0.4,0.51,0.31
1.93,1.27,1.08,0.44,0.77,0.34
0.64,0.99,0.85,0.36,0.56,0.29
2.08,1.34,1.13,0.45,0.77,0.37
1.98,1.3,1.1,0.45,0.76,0.38
1.9,1.33,1.1,0.48,0.77,0.38
8.56,1.86,1.47,0.6,1.01,0.65
4.49,1.58,1.34,0.52,0.95,0.5
8.49,1.97,1.59,0.67,1.2,0.59
6.17,1.8,1.56,0.66,1.02,0.59
7.54,1.75,1.58,0.63,1.09,0.59
6.36,1.72,1.43,0.64,1.02,0.63
7.63,1.68,1.57,0.72,0.96,0.68
7.78,1.75,1.59,0.68,1.08,0.62
10.15,2.19,1.86,0.75,1.24,0.72
6.88,1.73,1.67,0.64,1.14,0.55
