pt,pot,fd,food,FeTot,comb,FeAvail
1,alum,1,meat,1.77,11,0.026
1,alum,1,meat,2.36,11,0.067
1,alum,1,meat,1.96,11,0.061
1,alum,1,meat,2.14,11,0.045
2,clay,1,meat,2.27,12,0.072
2,clay,1,meat,1.28,12,0.037
2,clay,1,meat,2.48,12,0.069
2,clay,1,meat,2.68,12,0.043
3,iron,1,meat,5.27,13,0.258
3,iron,1,meat,5.19,13,0.221
3,iron,1,meat,4.06,13,0.24
3,iron,1,meat,4.22,13,0.244
1,alum,2,leg,2.4,21,0.013
1,alum,2,leg,2.17,21,0.058
1,alum,2,leg,2.41,21,0.025
1,alum,2,leg,2.34,21,0.069
2,clay,2,leg,2.41,22,0.068
2,clay,2,leg,2.43,22,0.054
2,clay,2,leg,2.57,22,0.033
2,clay,2,leg,2.48,22,0.022
3,iron,2,leg,3.69,23,0.086
3,iron,2,leg,3.43,23,0.068
3,iron,2,leg,3.84,23,0.053
3,iron,2,leg,3.72,23,0.044
1,alum,3,veg,1.03,31,0.044
1,alum,3,veg,1.53,31,0.028
1,alum,3,veg,1.07,31,0.053
1,alum,3,veg,1.3,31,0.024
2,clay,3,veg,1.55,32,0.077
2,clay,3,veg,0.79,32,0.047
2,clay,3,veg,1.68,32,0.04
2,clay,3,veg,1.82,32,0.027
3,iron,3,veg,2.45,33,0.26
3,iron,3,veg,2.99,33,0.226
3,iron,3,veg,2.8,33,0.238
3,iron,3,veg,2.92,33,0.209
